t 64:62:58:78:24|69:00:34:67:41
t 14:66:37:26:05|35:82:46:90:55
t 25:41:99:14:03|56:38:46:36:93
t 26:47:34:97:76|49:63:44:24:74
t 69:61:92:44:43|71:81:96:39:75
t 06:30:66:13:68|46:84:59:90:09
t 35:57:50:83:96|93:91:06:03:59
t 03:65:69:67:12|15:49:16:91:73
t 07:25:63:74:91|11:97:88:43:18
t 19:99:76:21:75|36:58:27:21:70
t 35:09:12:11:41|83:36:14:30:63
t 70:05:39:88:32|85:28:91:68:40
t 54:65:62:94:03|54:97:24:20:37
t 79:48:28:63:26|94:29:14:02:00
t 30:58:98:90:16|80:42:03:99:51
t 49:44:62:51:53|58:89:72:55:85
t 46:60:40:29:52|73:36:22:44:27
t 02:79:22:31:34|91:51:56:33:54
t 29:88:69:80:76|74:27:10:02:85
t 26:84:72:28:65|93:55:42:99:60
t 78:50:75:52:97|88:87:01:23:98
t 31:06:30:93:55|64:27:21:65:89
t 64:21:88:20:63|88:10:89:13:40
t 02:18:24:25:86|54:16:22:54:03
t 41:82:88:59:20|54:22:66:00:74
t 49:01:01:37:02|86:26:16:50:52
t 43:81:65:02:67|84:58:89:08:10
t 53:73:18:72:90|71:87:86:06:21
t 51:13:96:62:81|64:33:85:04:15
t 33:84:53:37:04|57:70:44:21:72
t 00:31:76:43:01|23:40:97:29:88
t 16:99:14:51:32|93:11:53:13:48
t 12:52:49:34:12|69:80:50:09:41
t 17:11:65:62:35|45:06:21:63:11
t 25:02:36:33:44|42:64:93:50:43
t 28:95:70:51:29|43:06:07:53:59
t 44:15:20:59:41|83:38:84:58:78
t 52:25:21:80:15|82:30:35:37:38
t 29:94:49:44:25|45:04:12:46:04
t 61:29:16:09:32|83:32:46:30:33
t 21:60:29:89:70|87:35:80:39:73
t 21:44:63:89:97|99:34:13:15:05
t 11:58:64:15:37|31:37:43:46:83
t 52:90:51:51:55|67:60:61:20:95
t 01:91:33:34:73|15:00:79:87:78
t 10:50:37:64:23|70:52:61:72:09
t 21:61:43:78:91|95:33:83:98:18
t 42:46:50:49:45|64:03:68:72:09
t 85:68:59:55:44|87:06:47:68:01
t 00:46:24:25:40|51:33:64:09:35
t 19:52:44:15:84|24:17:21:31:38
t 87:74:19:67:70|99:44:16:45:30
t 02:21:15:85:62|52:33:73:04:41
t 83:59:24:29:11|91:26:50:45:65
t 22:18:06:84:90|62:86:71:13:97
t 59:91:18:66:19|67:98:79:03:66
t 25:20:30:03:45|87:35:33:21:34
t 86:31:44:00:18|92:24:48:27:93
t 22:71:07:19:21|92:97:53:08:95
t 23:51:52:91:61|65:61:80:56:65
t 53:35:28:00:23|89:57:76:82:12
t 42:61:76:99:92|80:38:00:60:31
t 41:68:29:45:20|82:70:33:34:62
t 27:29:33:65:36|99:41:64:60:00
t 06:25:97:17:68|10:84:19:28:54
t 64:55:43:99:44|69:90:48:63:10
t 14:11:06:58:37|80:87:29:93:47
t 15:76:34:64:85|47:48:47:84:18
t 27:37:81:32:55|53:99:24:59:96
t 15:29:04:41:01|19:83:32:50:65
t 41:38:78:39:96|49:70:20:06:03
t 38:73:98:39:29|84:87:78:24:05
t 30:83:27:66:11|63:85:41:02:15
t 35:31:82:82:65|48:02:56:12:90
t 15:64:97:26:13|38:18:37:07:93
t 28:45:83:70:24|60:37:21:83:59
t 34:09:84:86:13|47:05:83:23:49
t 33:22:92:85:56|68:57:39:70:00
t 61:99:27:83:35|73:79:00:35:90
t 07:01:99:39:81|36:09:45:85:06
t 03:00:52:33:60|55:27:84:19:95
t 04:69:75:98:88|19:57:57:43:90
t 79:80:09:46:67|98:46:90:49:75
t 25:38:19:07:81|55:10:14:70:99
t 37:20:18:65:32|50:44:03:09:64
t 41:27:44:01:41|98:83:24:96:10
t 32:14:09:45:03|35:54:70:31:40
t 13:32:18:30:17|17:35:32:61:90
t 33:05:18:21:45|94:88:70:46:21
t 18:54:42:50:05|75:77:35:27:08
t 09:67:44:22:71|54:65:79:24:90
t 41:67:41:70:97|77:74:52:72:10
t 32:37:83:14:27|55:21:65:68:17
t 28:20:34:30:35|92:35:82:62:49
t 03:33:34:24:88|65:60:82:22:25
t 26:65:31:38:08|86:22:23:64:30
t 21:68:76:15:41|51:19:78:63:62
t 39:39:31:87:98|42:81:74:30:52
t 06:34:00:00:18|68:99:23:90:80
t 44:44:55:34:85|49:18:19:00:08
t 70:88:40:32:19|84:48:99:80:47
t 45:22:40:33:97|47:82:50:27:40
t 04:96:30:50:99|39:82:51:05:31
t 56:43:76:70:67|66:86:57:16:73
t 20:09:61:37:71|98:14:72:43:33
t 23:53:41:27:86|81:99:97:91:28
t 47:66:34:53:90|93:78:71:10:23
t 66:83:19:77:22|88:74:45:22:13
t 41:24:46:94:05|60:66:97:98:89
t 06:05:65:73:91|44:62:18:96:38
t 69:23:93:15:26|70:72:69:18:24
t 00:49:30:95:37|94:29:25:15:61
t 69:13:06:48:59|92:03:61:94:01
t 02:22:39:76:77|10:51:61:55:39
t 12:23:49:96:24|20:08:71:14:23
t 45:49:98:56:81|92:48:43:66:97
t 45:98:81:51:49|50:94:95:04:31
t 00:33:84:45:75|41:09:97:67:99
t 59:29:45:62:59|87:74:98:99:31
t 23:42:96:49:94|27:68:66:67:24
t 48:68:11:17:96|84:88:74:33:81
t 44:04:25:68:68|51:22:11:60:21
t 30:25:30:42:00|80:27:98:20:51
t 05:38:09:92:04|12:14:25:82:05
t 33:35:86:26:41|64:80:71:66:66
t 59:92:76:24:51|87:07:27:96:51
t 37:27:05:20:27|83:37:03:83:10
t 53:29:11:34:80|78:77:21:35:41
t 18:63:16:70:41|32:48:30:08:30
t 41:74:09:84:15|85:48:60:08:85
t 01:05:71:01:78|87:31:09:72:96
t 27:02:84:25:70|89:97:52:88:46
t 68:15:73:19:57|73:18:51:98:95
t 18:59:18:83:39|96:25:59:10:83
t 38:66:03:67:61|60:76:82:93:26
t 78:54:80:57:38|98:73:21:68:61
t 01:45:19:58:57|25:39:56:16:89
t 16:21:78:32:25|30:38:08:87:62
t 07:69:99:90:05|83:85:56:13:53
t 06:62:99:93:48|64:71:19:35:66
t 14:14:47:08:99|92:27:22:07:12
t 86:71:98:99:20|88:24:17:52:92
t 45:37:58:46:68|96:14:88:89:93
t 21:47:25:97:68|49:70:07:43:37
t 20:12:52:39:46|45:25:91:76:31
t 09:96:08:36:72|77:56:74:16:99
t 04:44:88:58:32|68:19:49:27:30
t 18:80:62:13:27|66:55:61:01:74
t 23:41:13:89:28|35:31:40:31:96
t 33:68:01:57:52|44:50:82:82:32
t 25:36:12:82:33|83:26:19:94:73
t 77:05:58:73:02|96:45:24:12:52
t 16:59:27:53:80|70:50:81:11:58
t 76:71:13:52:65|81:77:18:18:97
t 09:41:42:74:86|48:42:48:62:97
t 29:17:20:36:92|61:06:38:81:24
t 05:39:58:47:50|16:01:14:68:81
t 39:67:45:67:94|99:44:74:00:63
t 15:85:57:74:86|49:24:17:80:25
t 11:82:30:75:58|28:91:62:70:37
t 00:76:96:12:61|22:48:91:71:58
t 45:28:58:50:98|77:73:60:38:42
t 32:13:04:95:93|48:21:95:04:25
t 32:66:37:19:32|38:91:20:84:68
t 69:42:14:11:02|94:37:31:34:62
t 02:37:97:11:06|41:03:30:47:34
t 54:82:38:43:51|99:17:17:63:15
t 37:22:12:12:87|51:18:08:91:74
t 28:87:15:01:89|30:11:52:23:77
t 27:63:87:21:29|75:46:14:77:88
t 52:60:06:62:47|69:19:39:31:82
t 41:80:20:61:05|51:24:38:39:50
t 11:30:80:53:04|82:25:89:40:05
t 27:51:87:58:06|96:07:47:22:30
t 10:06:49:05:14|34:85:88:35:15
t 66:29:07:22:26|77:63:76:23:13
t 16:96:13:57:30|75:48:00:25:27
t 30:07:51:05:92|84:55:52:47:03
t 36:90:46:94:35|58:78:07:05:47
t 91:41:52:08:13|92:22:99:46:81
t 31:27:63:32:58|46:08:57:24:76
t 37:00:37:79:41|97:40:54:50:09
t 38:39:46:79:27|97:21:92:98:81
t 88:38:94:16:51|93:29:06:13:93
t 66:09:56:99:66|83:80:21:71:75
t 28:84:95:59:68|66:58:66:32:94
t 60:86:31:13:63|83:60:22:49:66
t 66:20:70:46:08|74:46:06:66:73
t 21:30:78:67:59|84:38:27:78:69
t 09:44:93:90:91|47:22:23:40:07
t 26:05:55:01:40|69:82:62:25:50
t 20:06:86:09:45|78:66:79:63:87
t 83:61:42:06:43|99:09:95:17:38
t 52:55:55:03:40|67:52:42:95:97
t 47:27:05:65:89|50:97:62:45:56
t 63:15:03:81:46|75:65:76:03:27
t 33:77:81:16:60|76:44:03:84:28
t 14:20:93:86:41|35:02:35:08:74
t 83:16:26:06:91|96:04:12:57:44
t 65:05:76:11:33|91:19:18:98:06
t 65:87:94:75:75|95:34:50:67:24
t 48:35:22:95:86|82:60:08:39:62
t 48:93:41:60:50|73:66:38:19:59
t 42:14:71:27:19|65:12:68:18:06
t 77:61:28:49:50|83:65:06:25:36
t 65:53:26:05:53|80:31:80:27:45
t 62:40:26:49:44|63:81:23:47:83
t 78:98:98:29:91|80:69:60:25:27
t 09:07:87:55:23|82:65:02:47:23
t 24:56:05:89:75|44:44:11:91:30
t 78:67:66:88:50|80:60:48:56:17
t 57:16:35:98:63|76:32:48:43:73
t 33:91:61:66:80|93:91:50:85:29
t 41:90:26:10:27|59:57:86:88:88
t 27:58:16:92:12|48:92:74:66:64
t 48:63:39:42:59|78:96:96:50:96
t 23:03:37:86:08|94:30:45:41:01
t 04:94:54:93:00|43:81:69:24:42
t 00:05:01:34:61|38:23:02:01:27
t 17:10:36:56:32|90:10:92:77:93
t 73:39:06:35:39|91:69:89:75:08
t 07:16:02:95:36|95:27:44:73:69
t 31:47:57:90:08|72:08:48:64:22
t 14:67:06:96:86|83:11:05:67:90
t 29:42:26:39:53|43:86:40:27:40
t 05:10:70:53:47|32:42:71:71:09
t 18:81:25:20:42|65:57:52:51:88
t 19:90:72:47:88|50:02:51:30:75
t 73:49:32:99:93|92:56:60:93:17
t 22:32:00:64:25|86:56:44:33:43
t 23:36:34:19:08|47:95:09:53:45
t 46:75:90:82:44|68:62:65:48:39
t 21:90:33:66:40|87:13:82:69:19
t 63:06:95:77:36|66:33:56:20:49
t 01:61:21:57:55|78:38:63:16:60
t 32:65:66:15:99|70:99:88:34:97
t 48:00:37:78:74|58:71:57:58:93
t 20:06:65:17:82|36:97:02:04:12
t 24:06:78:16:43|36:78:60:73:15
t 21:82:88:08:19|70:86:12:23:16
t 04:53:81:46:62|76:58:68:42:66
t 04:37:21:87:15|11:95:22:97:38
t 65:84:56:65:31|94:66:64:40:78
t 07:07:57:11:02|89:84:00:65:06
t 01:06:49:77:31|12:35:43:86:27
t 11:76:59:46:35|25:97:64:90:08
t 83:34:68:55:80|94:77:15:83:07
t 00:48:03:16:11|89:23:73:60:41
t 39:78:87:23:32|77:63:90:37:03
t 14:30:13:03:01|17:98:03:98:99
t 48:92:74:68:90|67:26:48:84:06
t 05:71:77:07:35|59:58:45:20:30
t 11:90:78:05:33|66:77:08:42:98
t 43:69:02:17:40|63:57:60:26:48
t 62:13:39:49:10|86:26:68:90:46
t 55:29:90:76:72|75:15:37:20:58
t 35:75:84:77:10|90:29:48:40:76
t 45:23:37:67:33|52:34:86:94:03
t 55:01:25:41:75|60:33:91:78:04
t 83:19:47:35:07|89:90:25:26:25
t 26:48:13:28:14|65:66:09:27:40
t 43:09:29:53:53|50:76:73:87:65
t 63:78:11:71:00|68:60:02:68:88
t 13:46:19:85:01|85:18:60:66:73
t 19:04:94:89:96|95:61:88:27:19
t 65:47:90:43:52|92:53:25:84:24
t 12:05:97:97:10|34:31:30:56:56
t 65:56:38:71:01|72:86:24:69:36
t 25:80:71:52:02|67:37:99:08:80
t 77:88:87:40:58|93:84:31:12:28
t 76:30:30:59:59|76:60:91:38:40
t 53:37:28:94:60|96:28:27:39:85
t 13:75:96:68:04|33:46:48:91:83
t 07:01:73:27:59|52:60:35:52:95
t 74:12:63:75:67|88:73:20:95:71
t 83:95:28:30:49|85:00:45:27:33
t 16:08:61:73:96|93:71:38:72:90
t 58:93:72:89:78|72:97:27:39:00
t 42:10:66:78:99|54:54:77:67:95
t 45:94:26:02:92|81:44:83:48:74
t 38:67:72:94:67|98:18:47:70:75
t 12:60:68:89:91|75:77:34:12:00
t 40:90:47:90:17|64:14:43:84:05
t 70:75:82:98:00|77:64:51:98:23
t 27:97:55:19:70|67:17:64:60:23
t 13:69:88:00:65|56:50:59:44:98
t 20:13:28:10:05|31:87:66:32:82
t 02:85:80:01:64|88:27:94:53:73
t 47:68:66:02:54|62:12:33:37:71
t 32:48:63:41:17|86:85:55:01:20
t 82:29:66:75:07|94:13:46:53:67
t 06:71:94:02:08|24:44:44:55:98
t 03:40:31:01:78|70:89:59:28:25
t 00:63:88:12:49|11:44:05:14:41
t 96:15:23:59:94|97:58:06:84:75
t 43:87:95:05:06|96:76:73:58:22
t 71:82:96:52:72|77:39:88:39:41
t 42:22:15:99:39|68:47:84:29:85
t 25:58:09:90:71|54:48:31:07:12
t 05:55:64:68:27|23:96:55:07:89
t 26:84:34:49:41|58:69:22:11:86
t 01:40:22:08:62|03:85:04:00:11
t 90:25:05:60:48|91:19:47:12:37
t 38:95:88:81:30|71:55:47:84:11
t 09:15:23:01:39|65:17:61:00:02
t 12:64:35:44:07|89:85:31:02:53
t 41:15:55:38:49|85:95:55:84:27
t 51:31:43:79:48|62:27:19:09:56
t 38:79:98:96:51|81:13:01:91:06
t 42:77:86:69:51|99:58:35:55:41
t 38:84:74:80:61|71:73:93:56:13
t 23:99:53:52:31|92:66:00:36:00
t 52:81:03:64:46|89:82:22:33:09
t 26:72:12:05:65|36:40:69:04:42
t 88:56:10:25:55|96:13:14:68:46
t 29:81:85:65:26|98:38:16:88:56
t 61:28:16:43:29|68:33:22:99:15
t 05:89:82:81:19|47:47:41:24:90
t 68:91:90:49:03|70:67:45:17:45
t 20:96:55:28:95|82:02:25:86:38
t 27:78:46:13:41|65:86:86:24:03
t 44:18:16:68:97|72:15:79:63:04
t 17:26:17:07:43|58:36:69:57:80
t 28:35:74:22:00|92:27:99:58:14
t 43:36:89:40:21|94:28:21:46:93
t 27:96:43:02:18|76:72:03:85:17
t 54:54:66:11:85|66:50:00:43:42
t 24:53:93:85:16|82:00:98:34:09
t 43:75:11:48:21|85:23:16:23:03
t 69:84:17:12:03|81:84:04:66:07
t 42:21:93:45:15|87:60:30:72:65
t 66:48:58:49:65|67:03:93:96:70
t 00:25:61:24:14|15:44:14:60:83
t 18:17:49:72:67|86:69:79:58:13
t 17:87:46:24:75|35:01:40:71:82
t 57:84:38:43:17|88:06:47:73:25
t 27:71:90:37:65|53:31:60:94:39
t 13:06:90:40:91|99:91:84:60:97
t 25:62:90:23:98|54:78:46:95:21
t 46:98:13:23:01|82:18:12:78:87
t 58:19:56:14:84|92:26:01:30:27
t 02:55:44:24:66|56:21:84:88:19
t 13:10:99:68:35|54:62:15:35:08
t 48:81:84:92:74|63:10:15:34:02
t 02:81:01:24:40|55:01:20:96:93
t 24:85:68:66:99|73:07:14:78:79
t 11:18:29:87:64|42:87:42:22:02
t 13:38:72:88:97|96:50:31:48:33
t 24:17:29:09:59|38:25:89:21:06
t 07:39:81:69:09|50:85:54:13:29
t 08:02:94:49:93|96:07:72:27:34
t 05:73:27:83:21|19:08:50:72:42
t 86:24:83:52:34|91:44:75:58:44
t 55:53:01:31:63|61:51:28:96:26
t 69:26:09:52:91|91:27:53:80:10
t 25:11:65:17:49|67:21:30:63:34
t 15:24:50:62:08|21:11:55:70:99
t 06:49:82:92:66|35:07:69:37:80
t 22:91:93:56:33|59:70:44:24:94
t 28:98:57:87:05|74:29:97:20:46
t 22:63:17:08:69|72:79:64:59:89
t 24:03:47:64:54|78:20:77:83:18
t 25:75:49:30:54|92:92:91:63:26
t 37:71:62:91:93|67:63:54:88:40
t 06:13:19:61:36|72:40:04:50:85
t 26:06:45:65:53|96:80:46:96:57
g
t 59:05:94:93:84|82:96:79:56:38
t 32:06:43:94:79|36:40:42:56:29
t 03:78:17:73:77|16:81:35:90:79
t 32:75:32:23:81|97:61:86:31:40
t 37:21:35:09:53|86:96:06:33:43
t 04:07:34:73:35|69:31:26:52:07
t 46:07:31:31:08|61:30:45:42:78
t 14:87:26:70:47|21:65:39:05:86
t 16:20:57:02:44|39:44:88:31:38
t 40:91:88:01:35|56:65:41:34:32
t 10:31:30:05:00|63:09:28:86:33
t 11:03:18:33:89|96:16:18:97:05
t 46:20:90:35:60|70:45:90:45:60
t 06:68:10:36:13|94:79:01:56:07
t 43:46:13:26:54|97:90:87:15:14
t 04:30:48:33:69|11:30:60:36:62
t 04:06:91:02:01|32:38:30:68:09
t 37:65:10:73:79|46:12:49:18:19
t 33:90:89:38:18|65:44:53:89:72
t 66:88:56:24:37|68:39:69:70:03
t 32:20:86:58:96|42:91:09:76:25
t 38:24:77:87:21|83:89:09:87:21
t 06:77:55:62:14|21:12:02:43:19
t 48:44:18:07:92|51:48:21:79:15
t 25:88:07:87:46|83:58:79:75:87
t 56:46:72:54:56|67:90:20:60:95
t 09:03:93:00:79|80:71:89:85:08
t 03:56:21:57:94|93:02:41:50:27
t 02:20:33:72:35|64:12:88:28:66
t 61:13:06:48:02|71:85:64:84:10
t 01:89:38:12:92|74:74:88:09:69
t 09:20:64:09:53|28:98:56:38:67
t 00:18:07:05:25|55:03:27:78:28
t 59:37:26:92:57|93:80:19:40:39
t 42:83:52:81:39|65:80:89:07:79
t 25:13:63:94:83|95:85:61:97:61
t 20:85:50:92:56|24:05:44:56:07
t 91:34:86:16:31|92:89:47:17:47
t 48:72:23:34:96|81:61:66:91:23
t 03:50:00:73:29|96:45:43:61:41
t 42:23:41:31:28|79:88:13:88:10
t 08:11:97:00:31|14:55:37:20:73
t 39:45:28:02:17|84:96:33:99:29
t 42:98:95:64:03|91:03:13:29:76
t 15:22:64:45:40|97:49:70:89:60
t 40:21:52:24:91|96:89:16:35:13
t 62:70:36:07:80|81:43:58:64:48
t 93:00:61:31:72|98:55:63:66:63
t 10:16:63:67:19|82:37:44:49:41
t 08:80:13:19:42|96:52:06:47:06
t 23:84:02:87:11|35:56:77:00:71
t 07:43:58:16:00|82:79:32:13:83
t 57:72:81:58:17|72:30:65:15:09
t 57:11:07:40:57|68:43:87:71:93
t 16:93:85:57:77|52:82:98:88:02
t 07:71:91:94:28|77:92:09:32:12
t 18:04:32:70:81|83:91:91:05:27
t 52:49:74:13:14|55:88:37:15:27
t 45:62:06:20:46|77:84:68:51:77
t 94:58:32:41:45|98:38:13:94:54
t 46:45:17:79:19|47:73:51:39:05
t 25:41:97:98:00|43:56:09:99:40
t 54:64:00:73:88|79:58:74:90:92
t 23:93:20:34:77|75:52:26:30:67
t 26:65:35:53:45|76:28:18:59:40
t 59:26:80:12:70|83:74:00:77:60
t 68:01:87:06:81|94:05:41:14:92
t 39:98:14:30:30|48:54:67:62:46
t 14:92:24:30:28|64:45:14:60:87
t 08:60:55:70:63|44:48:26:19:43
t 58:25:84:63:98|99:03:79:30:14
t 29:60:52:08:88|80:54:51:00:85
t 41:52:39:70:80|74:81:65:82:43
t 45:26:95:09:41|94:33:72:75:44
t 16:04:60:71:60|78:50:89:77:04
t 28:56:16:88:97|94:87:46:30:29
t 20:33:68:78:14|89:78:46:23:91
t 32:57:00:16:98|59:96:82:62:03
t 15:84:25:61:41|74:93:18:24:52
t 34:98:97:99:69|51:88:72:25:27
t 11:70:99:60:39|88:61:91:80:57
t 21:46:52:26:33|25:45:36:36:80
t 24:99:42:76:23|98:67:28:51:29
t 49:52:50:41:57|53:14:11:91:00
t 42:24:49:13:15|64:28:53:42:10
t 84:12:40:17:54|97:63:63:28:49
t 05:97:12:20:18|38:43:86:00:87
t 03:17:92:97:90|35:37:70:89:46
t 61:83:74:28:54|97:19:52:65:30
t 01:24:56:48:90|50:98:24:54:13
t 85:35:55:28:55|87:40:68:05:18
t 10:61:31:37:15|75:01:54:29:00
t 15:16:21:11:88|38:74:55:81:47
t 08:43:31:97:12|64:16:52:69:74
t 13:01:76:63:45|72:87:51:86:59
t 17:15:18:57:90|39:12:88:32:89
t 52:06:71:81:68|71:49:45:72:59
t 78:31:40:44:86|98:92:59:73:79
t 16:20:02:21:87|20:02:25:22:47
t 17:56:74:38:68|83:69:04:34:99
t 47:48:32:79:00|70:56:46:09:44
t 13:96:93:39:41|28:96:72:21:31
t 55:99:15:39:88|75:25:84:58:84
t 44:85:94:71:89|71:24:61:75:20
t 09:39:97:54:56|43:40:59:35:66
t 38:37:23:02:57|89:02:91:97:16
t 35:48:91:23:26|49:67:20:97:87
t 53:09:71:55:72|98:12:58:44:91
t 16:12:04:45:48|96:57:62:98:55
t 45:18:04:64:18|54:33:54:95:13
t 23:43:60:46:58|32:61:29:00:18
t 21:37:90:30:09|39:31:06:12:17
t 21:50:59:43:65|57:81:16:74:75
t 47:74:34:56:78|55:63:61:00:95
t 12:94:70:32:85|17:26:68:50:14
t 02:61:36:84:92|90:52:09:17:99
t 03:70:66:44:38|77:87:22:37:55
t 63:92:58:91:86|72:31:73:63:09
t 35:48:15:83:62|44:84:07:25:97
t 04:73:94:73:22|61:47:93:29:59
t 15:16:15:59:28|98:58:92:62:66
t 46:73:88:79:31|80:00:81:80:89
t 50:09:08:73:89|98:41:61:41:87
t 50:25:67:41:08|85:54:67:36:04
t 15:35:28:21:85|19:55:50:44:04
t 31:56:48:19:81|97:89:73:78:41
t 65:25:74:76:38|98:89:36:50:29
t 37:39:21:49:83|87:22:15:84:34
t 22:16:22:42:93|71:71:91:79:25
t 18:91:17:89:90|83:62:00:93:04
t 58:98:41:08:32|92:67:75:03:20
t 16:87:01:93:13|47:36:68:18:18
t 15:52:73:97:23|43:19:15:28:56
t 04:10:44:10:48|44:34:12:37:40
t 32:04:35:68:17|53:46:97:91:16
t 25:89:81:24:28|90:62:33:78:23
t 55:37:67:35:63|62:96:35:86:84
t 18:47:94:16:63|60:63:70:54:75
t 15:34:90:81:06|34:24:12:64:09
t 61:16:18:44:50|70:26:19:80:62
t 39:03:26:06:22|85:32:51:14:10
t 37:11:40:12:64|63:02:35:01:84
t 40:51:34:81:78|51:49:07:38:10
t 21:71:95:06:50|28:07:25:75:88
t 06:94:87:55:81|85:89:73:86:65
t 21:95:52:71:82|42:87:51:91:16
t 04:51:57:30:91|40:25:27:87:01
t 23:55:17:21:72|88:86:98:78:51
t 09:28:00:11:21|59:53:59:78:22
t 49:26:07:86:50|53:60:17:41:68
t 70:31:46:46:22|95:70:25:64:73
t 03:54:56:04:53|70:59:08:68:10
t 44:34:19:43:01|57:40:91:93:28
t 06:31:72:65:17|23:54:45:55:88
t 10:81:90:04:22|51:07:96:87:18
t 14:12:44:17:98|57:59:93:54:64
t 40:56:15:79:86|82:66:27:39:82
t 04:31:13:90:31|58:48:04:58:84
t 41:84:85:22:74|53:07:98:52:83
t 03:76:53:39:55|46:31:82:34:03
t 10:82:27:78:60|80:10:64:55:70
t 53:03:42:30:87|71:15:70:12:17
t 69:37:10:67:15|84:94:01:06:29
t 11:58:26:82:84|33:81:52:45:04
t 59:37:72:38:50|70:49:04:56:61
t 04:06:49:54:33|68:25:66:95:29
t 62:34:51:98:42|99:06:44:04:25
t 64:51:44:89:36|97:89:07:42:34
t 96:86:50:25:40|97:27:55:79:73
t 15:28:39:61:06|88:54:63:71:35
t 03:65:05:66:30|82:88:38:84:32
t 31:02:67:96:34|41:12:88:20:70
t 73:97:92:55:28|78:35:02:37:30
t 48:98:29:04:91|86:19:10:74:78
t 82:94:22:75:73|95:45:52:57:37
t 06:07:11:06:83|44:85:50:60:33
t 13:18:80:53:59|81:94:08:92:82
t 11:44:94:98:94|79:64:43:94:71
t 31:12:32:34:40|75:04:39:34:23
t 82:68:69:81:98|98:69:73:79:19
t 14:91:39:81:67|99:95:00:33:82
t 72:40:40:27:93|91:42:62:16:11
t 33:64:86:42:53|86:28:45:91:83
t 62:59:73:47:51|74:60:81:24:52
t 04:43:52:54:18|47:93:61:90:76
t 47:34:63:01:00|52:75:95:35:09
t 12:37:03:51:77|40:04:04:88:65
t 06:74:02:72:62|15:58:08:85:85
t 10:31:88:71:87|61:90:43:23:06
t 14:72:65:49:70|75:16:94:30:99
t 20:81:27:59:04|26:27:10:83:38
t 25:45:07:79:40|59:15:32:40:24
t 45:97:40:11:67|70:17:68:26:70
t 52:22:00:43:15|67:60:28:50:05
t 35:16:63:07:49|62:66:24:40:45
t 52:35:46:47:18|94:08:13:18:04
t 55:11:81:49:89|70:13:68:61:48
t 24:73:14:92:22|81:17:34:06:18
t 81:41:29:94:14|86:48:94:87:97
t 29:59:44:62:23|47:58:68:53:48
t 27:27:01:79:21|35:39:93:52:11
t 16:59:44:13:78|73:98:06:13:02
t 72:51:24:05:27|79:18:66:89:52
t 34:50:96:55:81|52:60:83:76:43
t 26:98:46:26:95|36:46:50:98:22
t 76:07:28:80:78|95:64:63:51:70
t 06:19:16:27:59|54:74:49:57:90
t 17:61:77:42:41|45:63:59:85:95
t 71:51:12:16:58|75:88:44:44:52
t 30:98:93:80:30|45:62:71:45:16
t 28:96:19:78:75|85:20:73:59:69
t 27:83:56:77:89|57:98:79:67:56
t 67:65:48:45:69|93:04:41:81:21
t 06:67:91:01:81|88:93:87:85:32
t 71:29:34:22:98|96:62:50:92:68
t 39:90:66:64:07|89:69:21:65:18
t 04:29:82:79:58|63:97:76:08:90
t 47:29:29:01:90|50:06:03:31:87
t 39:22:69:70:95|60:40:74:64:95
t 14:05:67:86:65|98:78:65:88:39
t 33:24:21:00:61|36:04:88:06:18
t 05:99:32:56:59|97:33:74:25:94
t 18:72:79:54:24|30:51:85:56:92
t 68:81:62:04:38|72:36:23:47:94
t 37:27:65:24:79|76:35:49:91:30
t 36:07:57:27:77|60:36:90:40:56
t 18:13:88:92:01|48:62:08:61:48
t 75:12:52:07:49|98:19:19:33:32
t 56:14:18:50:66|86:51:63:44:15
t 56:90:02:22:41|57:94:81:77:59
t 04:94:17:71:72|70:36:63:46:97
t 03:75:52:26:36|50:43:55:49:88
t 56:35:28:61:85|84:43:32:97:37
t 54:04:80:10:04|99:03:47:78:22
t 75:93:76:35:27|99:14:86:34:62
t 56:05:65:21:14|94:00:38:05:56
t 26:95:59:42:53|33:34:08:02:25
t 57:82:80:80:08|91:37:25:98:30
t 28:97:37:43:65|61:69:16:60:57
t 16:85:02:92:06|34:67:00:64:69
t 33:04:25:67:50|71:90:77:20:95
t 12:59:05:76:06|61:61:03:97:74
t 19:07:30:80:24|50:80:84:10:77
t 84:56:42:14:56|92:32:55:74:13
t 35:72:06:75:02|54:52:55:54:07
t 81:61:56:59:11|97:45:15:49:58
t 62:25:00:84:61|72:50:82:43:82
t 05:15:62:68:47|16:04:59:50:00
t 31:31:02:22:22|81:81:59:15:03
t 79:97:95:24:32|82:56:82:72:31
t 43:28:55:47:93|71:74:04:07:62
t 47:64:74:16:93|90:19:09:79:86
t 47:50:46:63:08|54:28:31:34:38
t 34:80:59:84:05|87:87:56:27:98
t 00:65:44:83:55|63:93:48:74:53
t 39:05:35:48:08|63:31:68:61:18
t 01:13:54:22:04|93:67:07:28:18
t 42:79:10:09:22|57:83:32:84:09
t 00:26:17:63:23|49:50:30:75:02
t 45:94:43:72:80|81:75:26:62:07
t 00:71:49:32:64|10:88:92:69:38
t 00:25:09:71:89|26:61:78:77:65
t 14:25:02:94:02|73:02:01:73:42
t 49:29:24:03:75|65:49:88:59:29
t 27:94:03:47:16|48:03:96:61:76
t 05:13:63:87:31|05:59:91:34:74
t 85:86:99:45:47|98:51:85:23:74
t 31:48:66:11:16|80:23:95:14:50
t 73:38:59:08:88|77:98:97:03:53
t 51:36:92:68:65|88:67:64:62:26
